DP,r,SE,SS,,,,,,,,,,,,,,,,
67.1.1,0.087766097,2.83E-02,1232,,,,,,,,,,,,,,,,
67.2.1,7.41E-02,2.78E-02,1284,,,,,,,,,,,,,,,,
69.1.1,0.24883143,6.15E-02,236,,,,,,,,,,,,,,,,
69.1.2,0.24883143,6.15E-02,236,,,,,,,,,,,,,,,,
70.1.1,0.156311424,2.57E-02,1449,,,,,,,,,,,,,,,,
70.10.1,0.112067218,2.60E-02,1449,,,,,,,,,,,,,,,,
70.11.1,0.101731698,2.60E-02,1449,,,,,,,,,,,,,,,,
70.12.1,9.29E-02,2.61E-02,1449,,,,,,,,,,,,,,,,
70.13.1,5.96E-02,2.62E-02,1449,,,,,,,,,,,,,,,,
70.13.2,0.101472874,2.60E-02,1449,,,,,,,,,,,,,,,,
70.2.1,0.120566877,2.59E-02,1449,,,,,,,,,,,,,,,,
70.3.1,9.21E-02,2.61E-02,1449,,,,,,,,,,,,,,,,
70.4.1,7.86E-02,2.61E-02,1449,,,,,,,,,,,,,,,,
70.5.1,7.00E-02,2.62E-02,1449,,,,,,,,,,,,,,,,
70.6.1,6.24E-02,2.62E-02,1449,,,,,,,,,,,,,,,,
70.7.1,0.111035245,2.60E-02,1449,,,,,,,,,,,,,,,,
70.8.1,0.127245047,2.59E-02,1449,,,,,,,,,,,,,,,,
70.9.1,0.125192024,2.59E-02,1449,,,,,,,,,,,,,,,,
72.1.1,1.81E-02,8.82E-03,12851,,,,,,,,,,,,,,,,
72.1.2,3.71E-03,8.82E-03,12851,,,,,,,,,,,,,,,,
72.2.1,3.94E-02,9.75E-03,10491,,,,,,,,,,,,,,,,
72.2.2,3.95E-02,9.75E-03,10491,,,,,,,,,,,,,,,,
72.3.1,4.01E-02,2.77E-02,1298,,,,,,,,,,,,,,,,
72.3.2,-4.37E-02,2.77E-02,1298,,,,,,,,,,,,,,,,
72.4.1,-0.028939996,2.50E-02,1605,,,,,,,,,,,,,,,,
72.4.2,8.01E-02,2.48E-02,1605,,,,,,,,,,,,,,,,
89.1.1,0.313507585,0.173534747,30,,,,,,,,,,,,,,,,
9.1.1,0.123154694,6.05E-02,268,,,,,,,,,,,,,,,,
9.1.2,0.140057023,6.02E-02,268,,,,,,,,,,,,,,,,
93.1.2,0.518400014,0.106665442,50,,,,,,,,,,,,,,,,
93.1.4,0.315068493,0.131385243,50,,,,,,,,,,,,,,,,
95.1.1,-8.07E-03,1.05E-02,9101,,,,,,,,,,,,,,,,
95.2.1,-7.13E-03,1.05E-02,9101,,,,,,,,,,,,,,,,
95.3.1,-4.82E-03,0.010483757,9101,,,,,,,,,,,,,,,,
109.2.4,-8.64E-02,2.78E-02,1277,,,,,,,,,,,,,,,,
111.1.2,-5.20E-02,3.16E-02,1000,,,,,,,,,,,,,,,,
111.3.1,-8.14E-02,3.15E-02,1000,,,,,,,,,,,,,,,,
111.3.2,6.20E-02,3.15E-02,1000,,,,,,,,,,,,,,,,
118.1.1,0.330232962,0.13586802,46,,,,,,,,,,,,,,,,
119.1.1,0.407469317,0.120373021,51,,,,,,,,,,,,,,,,
119.2.1,0.396208723,0.121679261,51,,,,,,,,,,,,,,,,
119.3.1,0.396208723,0.121679261,51,,,,,,,,,,,,,,,,
119.4.1,0.396208723,0.121679261,51,,,,,,,,,,,,,,,,
119.5.1,0.422716686,0.118545974,51,,,,,,,,,,,,,,,,
119.6.1,0.422716686,0.118545974,51,,,,,,,,,,,,,,,,
14.1.1,7.47E-02,6.14E-02,265,,,,,,,,,,,,,,,,
14.2.1,0.16111543,6.02E-02,265,,,,,,,,,,,,,,,,
2.1.1,0.202535642,5.97E-02,261,,,,,,,,,,,,,,,,
2.3.1,0.319072818,0.111407073,68,,,,,,,,,,,,,,,,
2.3.2,4.10E-02,0.123826374,68,,,,,,,,,,,,,,,,
2.4.1,0.11143945,0.201589178,27,,,,,,,,,,,,,,,,
38.1.16,0.103903787,3.13E-02,1000,,,,,,,,,,,,,,,,
38.1.7,0.103903787,3.13E-02,1000,,,,,,,,,,,,,,,,
38.3.15,9.38E-02,3.14E-02,1000,,,,,,,,,,,,,,,,
38.3.16,0.103903787,3.13E-02,1000,,,,,,,,,,,,,,,,
38.3.7,0.103903787,3.13E-02,1000,,,,,,,,,,,,,,,,
38.5.12,8.14E-02,3.15E-02,1000,,,,,,,,,,,,,,,,
38.5.16,0.103903787,3.13E-02,1000,,,,,,,,,,,,,,,,
38.5.7,0.103903787,3.13E-02,1000,,,,,,,,,,,,,,,,
71.2.2,0.448698793,0.148309183,32,,,,,,,,,,,,,,,,
71.3.2,0.37607975,0.130929786,46,,,,,,,,,,,,,,,,
86.2.2,-0.120463657,9.11E-02,120,,,,,,,,,,,,,,,,
